,LineItem Name,Total Order
0,"Falcon Drone Four Axis Aircraft with 2.4 GHz RC, Blade Guard, Headless Mode LED Without Camera",7
4,Barbie Doll (pink),81
5,Sony MDR-G45LP On-Ear Street Wired Headphone,18
6,Reliance Jio Phone 2,95
8,QUECHUA Ultra Compact Travel 10 Litre Backpack (Blue),11
9,Lava Captain N1 Red,21
10,Zebronics ZEB-16A 16 inch (39.6 cm) LED Monitor Full HD,7
12,Spider Man Mini Drone,15
13,Candytech SPEEDO Dual USB Charger with 2.6 Amp Power,1
15,ONLINE TUITION FOR STD 4 and STD 5(FREE 5 DAYS DEMO CBSE),1
16,Samsung Earphones With Mic Tuned by AKG (Black),10
17,Vmax HX 750 Quadcopter Drone (No Camera),74
18,"Fun Activities for Kids LKG to STD 10(Singing, Dancing, Drawing, Craft, Music, Yoga, Karate)",2
19,JBL A005 Portable Led Lightning Wireless Bluetooth Speaker,3
20,Quarter Chicken Biryani (Chennai),11
22,Boat BASS HEADS 152 (Black),2
23,Fresh Paneer 500gm (Berhampur),2
24,boAT Airdopes X3 Bass Wireless Earbuds with Charging Case (White),176
25,1KG Chicken Biryani (Chennai),50
27,boAt BassHeads 229 Metal Earphones Hifi Stereo Headsets Metal Headphones With Mic,4
28,Drone Workshop Training Program,7
29,The Amazing Spider Man Micro Drone Q Series Hyun Lights Upgraded Quadcopter Headless Mode One Key Features,31
30,Super Power JCB Truck Construction Loader Excavator Crane Toys,24
32,Samsung U Flex Wireless Bluetooth Flexible Headphones with Mic (Black),25
36,REALME BUDS PLUS Wireless Bluetooth Ears Buds Headphone,5
37,JBL Tempo On-Ear Headphone,51
39,Nova NHC-3791 Electric Hair Trimmer (Black),2
40,Barbie Doll Toy Combo pack(2 Pack),7
43,Reliance Jio Phone,287
46,REALME YOUTH BUDS Wireless Bluetooth Headphone,16
48,Zebronics ZEB-A19 19-inch LED Monitor,1
49,Refer and Earn Rs.2000 and Get Free Partnership Gift,3
53,Mutton Curry Cut 500gm (Berhampur),3
54,Hot Wheels Car 5 Gift Pack,12
57,Puppy House Coin Piggy Bank,30
58,Summer Internship Gift,4
60,QUECHUA Mini Laptop Bag 10 Liter- Red/Black,4
63,Zebronics Radiant Multimedia Gaming Keyboard,8
66,DIGISonic DS1601 42cm (16) FULL HD LED Television,2
72,Boat Nirvanaa Uno Wired In-ear Earphones with Mic (Black),48
84,SONY PlayStation PS4 PRO 1TB Hard Disk(Black),30
85,1 Bucket Chicken Biryani Party Pack 5kg (Chennai),18
87,OnePlus Bullets Wireless 3 Bluetooth Headphone(Black),13
94,REALME Buds Air Tone Wireless Headphone,5
107,Preethi Zodiac MG 218 750-Watt Mixer Grinder with 5 Jars Black,4
109,"ONLINE TUTION FOR CLASS- NURSERY,LKG,UKG(FREE 5 DAYS DEMO CLASS)",9
113,Chhota Bheem Remote Control Car,6
119,Skullcandy Earphone With Pouch Bag,3
121,Toy Family Doll House Set,3
122,Boat Rockerz 225 Plastic Wireless Bluetooth Headset with Mic (Black),36
123,Zebronics ZEBVR100 Virtual Reality Kit VR box 3D 360 Degree,13
125,King Driver Remote Control Car,4
127,HX-715 Flying Helicopter With Remote Control Toy,8
129,Zebronics SAGA Portable Bluetooth wireless speaker,3
131,"Boat BassHeads 250 with Hifi Sound Effect, in-line mic, Clear Human Voice,Noise Isolation With Precise Bass Wired Earphones (Black)",6
132,Berhampur Special Masala Papad 250gm,1
137,Fresh Mushrooms Button 200gm (Berhampur),1
142,Country Chicken (Desi Murga) Curry Cut with skin 500gm(Berhampur),3
143,Men Formal Shoes Black Color With Free Sunglasses,1
144,Mutton Curry Cut 1kg (Berhampur),1
146,Boat Super EXTRA BASS HEADS 225 WIRED WITH MIC (Black),4
147,Solanki King Car Bugatti Style Steering Radio Control Rechargeable Car,1
153,WS887 Mini Wireless Bluetooth Speaker,1
159,Sony PlayStation PS2 Gaming Console 150 GB Hard Disk With 50 Games Preloaded(Black),2
165,Boat Rockerz 530 Foldable Bluetooth Headphone with Mic (Carbon Black),2
176,boAt BassHeads 225 Wired Headphones with Mic and Carrying Case (Black),12
181,VMax HX763 Vision Drone 2.4GHz RC Quad-copter Headless Mode One Key Without Camera,7
183,Realme Buds Wireless 2 Bluetooth In the Ear Headphone (Black),1
184,SanDisk 16 GB memory card,1
185,ONLINE TUITION for CLASS 6TH TO 8TH (FREE 5 DAYS DEMO CLASS),1
192,Samsung Level U Bluetooth Wireless in-Ear Headphones With Mic (Black),77
193,Mi Wired Headphones with Mic Ultra-Deep Bass (Black),3
194,Avengers Captain America Drone Four Axis Aircraft with 2.4 GHz Without Camera,1
208,Country Chicken (Desi Murga) raw with skin 1kg(Berhampur),1
211,Candytech H111i Supersonic Bass earphone Wired Headset With Mic,1
212,LED TV Installation Uninstall Repair Services,3
217,Fresh Cow Milk 1Liter(Berhampur),1
227,Kids Drone Quadcopter 2.4G 6-Channel Without Camera,3
228,Lg Tone Pro Hbs-750 Bluetooth Headset,6
233,Little Chef Kitchen Set With Convertible Suitcase,2
235,Vakura Catla River Fish Cutting(No Head) 1Kg(Berhampur),1
240,Mutton Chops Special(kashi) 500gm(Berhampur),2
244,Combo pack Toys Savoir Robot and Barbie doll,1
245,Realme Buds Wireless BlueTooth Headset(Black),10
256,Business Analyst Internship Training Program,2
257,REALME Buds Wireless Bluetooth Headphone,3
263,KING'S CLASSIC INSTANT COFFEE,2
264,FERNWEH ORIGINALS INSTANT COFFEE,1
272,Minions Mini Drone,7
275,Diabolo Captain America Civil War Q Series Hyun Lights Upgraded Mini Drone Without Camera,16
