,Unnamed: 0,College_Name,State,City,URL_,Address,Phone_Number
0,0,10 Daneces (IT Training Institute),Jharkhand,Jamshedpur,http://www.10daneces.com/,"Branch Office - 101, Alison's Apartment, Aambagan, Sakchi, Jamshedpur, Jharkhand 831009, India","[' 8252167867, 9818743263']"
1,1,A and M Institute of Management and Technology - Courses,Punjab,Pathankot,https://targetstudy.com/university/238/punjab-technical-university/,"Opposite Canada Palace, Jalandhar - Dalhousie Bye Pass Road, Village - Mamoon, Pathankot, Punjab 145001, India","['(01862) 251986 / ', ' 8288018801, 9876102549']"
2,2,A. Veeriya Vandayar Memorial Sri Pushpam College (Autonomous) - Courses,Tamil Nadu,Thanjavur,https://targetstudy.com/university/272/bharathidasan-university/,"Pooondi, Thanjavur, Tamil Nadu 613503, India",['(04374) 239523']
3,3,A.I's Homai Peerbhoy Computer Centre - Courses,Maharashtra,Mumbai,https://anjumaniislam.org/our-institutes/other-institutions-managed-by-anjuman-i-islam/,"92, Dr. D.N. Road, CST, Mumbai, Maharashtra 400001, India","['(022) 22611494, 22611495 / ', ' 9820096119']"
4,4,AA Arts and Science College - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"No. 42/1, 2nd Street, Koyambedu, Srinivasa Nagar, Chennai, Tamil Nadu 600107, India","['(044) 24790445, 28553109, 28526202']"
5,5,Aakash Institute of Business Management - AIBM - Courses,Karnataka,Bangalore,https://targetstudy.com/university/135/bangalore-university/,"Admin Office:- 1, Rajiv Gandhi Nagar, Bommanahalli, Opposite to Anand Honda Service Center, Bangalore, Karnataka 560068, India",[' 8880688822']
6,6,Aakashline Institute - Courses,Delhi,,https://targetstudy.com/university/15477/sikkim-manipal-university/,"1449/21, Main 100 Feet Road, Duga Puri, Shahdara, Delhi, Delhi 110093, India","['(011) 22311603 / ', ' 9268213323, 9266737357']"
7,7,Aalim Muhammed Salegh College of Engineering - AMS,Tamil Nadu,Chennai,http://www.aalimec.ac.in,"Muthapudupet, Avadi, IAF, Chennai, Tamil Nadu 600055, India","['(044) 26842627, 26842086']"
8,8,Aarti Institute of Professional Studies - Courses,Delhi,New Delhi,https://targetstudy.com/university/60423/bharati-vidyapeeth-university-institute-of-management-and-research/,"306, Pankaj Plaza, Plot No. 1, Central Market, Sector 6, Dwarka, New Delhi, Delhi 110075, India","['(011) 45574701 / ', ' 9310023651, 9310023652, 9310023653']"
9,9,Aarupadai Veedu Institute of Technology - AVIT,Tamil Nadu,Kanchipuram,https://targetstudy.com/university/16354/vinayaka-missions-university/,"Vinayaka Nagar, Old Mahabalipuram Road, Paiyanoor Kancheepuram, Kanchipuram, Tamil Nadu 603104, India","[' 8754541025, 8754541026']"
10,10,Aastha Educational Institute - Courses,Uttar Pradesh,Ghaziabad,https://targetstudy.com/university/318/chaudhary-charan-singh-university-meerut-university/,"NH - 58, Delhi - Meerut Road, Behind H.P. Petrol Pump Sikri Kalan, Modinagar, Ghaziabad, Uttar Pradesh 201204, India","['(01232) 322883 / ', ' 9359939825, 9012625583, 9457172537']"
