,College_Name,State,City,URL_,Address,Phone_Number
0,AA Arts and Science College - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"No. 42/1, 2nd Street, Koyambedu, Srinivasa Nagar, Chennai, Tamil Nadu 600107, India","['(044) 24790445, 28553109, 28526202']"
1,Aalim Muhammed Salegh College of Engineering - AMS,Tamil Nadu,Chennai,http://www.aalimec.ac.in,"Muthapudupet, Avadi, IAF, Chennai, Tamil Nadu 600055, India","['(044) 26842627, 26842086']"
2,Accel Information Technology Academy - Aminjikarai - Courses,Tamil Nadu,Chennai,,"Chateau D Ampa, Ground Floor, 37, Nelson Manickam Road, Aminjikarai, Chennai, Tamil Nadu 600029, India","['(044) 42251234, 23745375']"
3,Agni College of Technology - ACT - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Old Mahabalipuram Road, Thalambur
, Chennai, Tamil Nadu 600130, India","['(044) 67409444, 67409445, 67409499 / ', ' 8122124081, 9445024081, 9361294593']"
4,Agurchand Manmull Jain College - Courses,Tamil Nadu,Chennai,http://www.amjaincollege.edu.in/,"Meenambakkam, Chennai, Tamil Nadu 600114, India","['(044) 22246705, 22248603']"
5,Alagappa Institute of Technology - AIT - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/262/alagappa-university/,"#49, Gangadeeswarar Koil Street, Purasawalkam, Chennai, Tamil Nadu 600084, India","['(044) 42174904, 45570122']"
6,Alpha Arts and Science College - AASC - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"No. 30, Tundalam Road, Chettiyar Agaram Road, Behind Ramachandra Hospital, Porur, Chennai, Tamil Nadu 600116, India","['(044) 24762368 / ', ' 9884442576, 9884442578']"
7,Alpha College of Engineering - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"#34, Udayavar Koli Street, Thirumazhisai, Poonamallee, Chennai, Tamil Nadu 600124, India",[' 7810013333']
8,Alphaa Institute of Computer Technology - Courses,Tamil Nadu,Chennai,,"#5-C/2, SIDCO Main Road, Kaviarasu Kannadasan Nagar, Kodungaiyur, (Near Kodungaiyur Police Station), Chennai, Tamil Nadu 600118, India","['(044) 25544872, 25546872 / ', ' 9841643262, 9940273126']"
9,Amaze College of Animation and Technology - Courses,Tamil Nadu,Chennai,http://www.amazemediacollege.com/,"No. 55, First Floor, Sabanayagar Street, Chidambaram, Chennai, Tamil Nadu 608001, India","['(044) 223143 / ', ' 9443229749, 9487535222']"
10,Anand Institute of Higher Technology - Courses,Tamil Nadu,Chennai,http://www.aiht.ac.in/,"Kalasalingam Nagar, IT Corridor, Old Mahabalipuram Road, Kazhipattur, Chennai, Tamil Nadu 603103, India","['(044) 27471330, 27471340, 24353370 / ', ' 9444803122, 8012136666, 8667784469']"
11,Anna University - Chennai,Universities in Tamil Nadu,Universities in Tamil Nadu,http://www.annauniv.edu,"Sardar Patel Road, Guindy, Chennai, Tamil Nadu 600025, India","['(044) 22351723, 22351126']"
12,Annai Veilankanni College for Women - Courses,Tamil Nadu,Chennai,http://annaiveilankannis.com/arts-and-science/,"#81/33 V.G.P. Salai, West Saidapet, Chennai, Tamil Nadu 600015, India","['(044) 43523712, 24851172, 24710820, 65137516']"
13,Annai Violet Arts and Science College,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"No. 53, Violet College Road, Menambedu, Ambattur, Chennai, Tamil Nadu 600053, India","['(044) 26861611, 26864684 / ', ' 9884168222']"
14,Apollo Computer Education Ltd,Tamil Nadu,Chennai,http://www.apollocomputereducation.com/,"No. 4/31, Pillaiyar Koil Street, Market Bus Stop, Pallavaram, Chennai, Tamil Nadu 600017, India","['(044) 65656767, 2264 2474 / ', ' 8680004041, 8680004042']"
15,Apollo Engineering College - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Chettipedu, Poonamallee, Chennai, Tamil Nadu 600017, India","['(044) 24362183, 24362184, 24362185 / ', ' 9444309536, 8939633999']"
16,Apollo Priyadarshanam Institute of Technology - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Tambaram - Kanchipuram Main Road, Oragadam, Chennai, Tamil Nadu 600017, India","['(044) 24362183, 24362184, 24362185 / ', ' 9500000825']"
17,Appin Technology Lab,Tamil Nadu,Chennai,,"No. 10-A, 2nd Floor, First Main Road, Behind Nagathaman Koil, Chennai, Tamil Nadu 600041, India",[' 9962006587']
18,Arignar Anna Institute of Management Studies and Computer Applications - AAIMSCA - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"Pennalur, Sriperumbudur, Chennai, Tamil Nadu 602105, India","['(044) 23770676, 23775964']"
19,Arignar Anna Institute of Science and Technology - AAIST - Courses,Tamil Nadu,Chennai,http://www.arignaranna.org/,"Pennalur, G. Jayarama Nagar, Sriperumpudur Taluk, Chennai, Tamil Nadu 602105, India","['(044) 27162344 / 100, Toll Free - 18001039949 / ', ' 9094099901 to 903, 9094999909 to 910']"
20,Asan Institute of Management - AIM - Courses,Tamil Nadu,Chennai,http://asaneducation.com/AIM/index.html,"1/176, Bharathiar Salai, Velachery - Tambaram Road, Jaladampet, Chennai, Tamil Nadu 600100, India","['(044) 22461418, 22460216, 22460032']"
21,Asan Memorial College of Arts and Science - AMCAS - Courses,Tamil Nadu,Chennai,http://www.amcas.in/,"1/176, Bharathiar Salai, Velachery-Tambaram Road, Jaladampet, Chennai, Tamil Nadu 600100, India","['(044) 22461418, 22460216, 22460032 / ', ' 9176316656']"
22,Avichi College of Art and Science - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"No. 130-A, Arcot Road, Virugambakkam, Chennai, Tamil Nadu 600092, India","['(044) 23764227 / ', ' 9600164070, 7338882812']"
23,B.S. Abdur Rahman Crescent Engineering College - Courses,Tamil Nadu,Chennai,https://crescent.education/,"Seethakathi Estate, GST Road, Vandalur, Chennai, Tamil Nadu 600048, India","['(044) 22751347, 22751348, 22751350, 22751375 / ', ' 9543277888, 9499001725 (Admission Help No.']"
24,Balaji Institute of Engineering and Technology - BIET,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Thandalam Village, Office IT Highway, Near Thiruporur, Chennai, Tamil Nadu 603110, India","['(044) 27445043, 27445040 / ', ' 9176043317']"
25,Bhaktavatsalam Memorial College for Women - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"No. 14, 31st Street, Periyar Nagar Korattur, Chennai, Tamil Nadu 600080, India",['(044) 26872891']
26,Bharath Institute of Higher Education and Research - BIHER,Universities in Tamil Nadu,Universities in Tamil Nadu,https://www.bharathuniv.ac.in/,"#173 Agharam Road, Selaiyur, Chennai, Tamil Nadu 600073, India","['(044) 22290742, 22290125']"
27,Bharath Post Graduate College - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/149/karnataka-state-open-university/,"8, Karpagambal Nagar, Mylapore, Chennai, Tamil Nadu 600004, India","['(044) 24984366, 24990953, 24987025 / ', ' 7397326110, 7299049155, 7299049157, 7299049154']"
28,BS Abdur Rahman Crescent Institute of Science and Technology,Universities in Tamil Nadu,Universities in Tamil Nadu,http://www.bsauniv.ac.in,"GST Road, Vandalur, Chennai, Tamil Nadu 600048, India","['(044) 22751347, 22751348, 22751350, 22751375 / ', ' Admission Helpline No. 9543277888']"
29,Centre for Development of Advanced Computingc- C-DAC Chennai - Courses,Tamil Nadu,Chennai,http://www.cdac.in/,"Tidel Park, 8th Floor, 'D' Block (North & South), No. 4, Rajiv Gandhi Salai, Taramani, Chennai, Tamil Nadu 600113, India","['(044) 22542226, 22542227']"
30,Chennai Institute of Technology - CIT,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Sarathy Nagar, Nandhambakkam (Post), Kundrathur, Chennai, Tamil Nadu 600069, India",[' 9176660011']
31,Chevalier T.Thomas Elizabeth College for Women - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"No. 16, St. Mary’s Road, Maryland, Sembium, Perambur, Chennai, Tamil Nadu 600011, India","['(044) 25375753, 25370029']"
32,CM Kothari Technological Institute - Courses,Tamil Nadu,Chennai,,"Chembarambakkam, Nazarethpettai, Thirumazhisai
, Chennai, Tamil Nadu 602103, India","['(044) 26272411, 26491834']"
33,Dhaanish Ahmed College of Engineering - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Dhaanish Nagar, Vanchuvancherry, Padappai, (Near Tambaram), Chennai, Tamil Nadu 601301, India","[' 9962022222, 9840720640']"
34,Dhanalakshmi College of Engineering - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Dr. V.P.R. Nagar, Off. Tambaram Sriperumbudur Road (Via Manimangalam) Manimangalam Post, Chennai, Tamil Nadu 601301, India","['(044) 71700801, 71700808 / ', ' 7299996789, 9941924411, 7299016647']"
35,Dhanalakshmi Srinivasan College of Engineering and Technology - Courses,Tamil Nadu,Chennai,http://dscet.ac.in/,"East Coast Road, Mamallapuram, Chennai, Tamil Nadu 603104, India","['(044) 27442844, 27443844']"
36,Dhanraj Baid Jain College (Autonomous) - Courses,Tamil Nadu,Chennai,http://dbjaincollege.org/,"Rajiv Gandhi Salai, Jyothi Nagar, Thoraipakkam, Chennai, Tamil Nadu 600097, India","[' 7200071798, 6374183720, 7200071797']"
37,Dharmamurthi Rao Bahadur Calavala Cunnan Chetty's Hindu College - DRBCCC - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"Dharmamurthi Nagar, Pattabiram, Chennai, Tamil Nadu 600072, India","['(044) 26850621, 26850887 / ', ' 7397387413']"
38,Diamond Dart Academy - DDA - Courses,Tamil Nadu,Chennai,,"Head Office:- #73, Old #43/44, NU-Tech Plaza, Aarcot Road, Kodambakkam, Chennai, Tamil Nadu 600024, India",['(044) 42280617']
39,DMI College of Engineering - DMICE - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Palanchur - Nazarethpet Post, Chennai, Tamil Nadu 602103, India","['(044) 26810641, 26811544']"
40,Dr. MGR Educational and Research Institute,Universities in Tamil Nadu,Universities in Tamil Nadu,http://www.drmgrdu.ac.in/,"Periyar E.V.R. High Road, (NH-4 Highway), Maduravoyal, Chennai, Tamil Nadu 600095, India","['(044) 23782176, 23782186, 23782085']"
41,Dr. MGR Janaki College of Arts and Science for Women - Courses,Tamil Nadu,Chennai,https://www.mgrjanaki.ac.in/,"""Sathyabama MGR Maligai"", 11 & 13, Durgabai Deshmuk Road, Raja Annamalai Puram, Chennai, Tamil Nadu 600028, India",['(044) 24937382']
