,College_Name,State,City,URL_,Address,Phone_Number
0,Academy for Professional Excellence - Courses,West Bengal,Kolkata,https://targetstudy.com/university/15477/sikkim-manipal-university/,"2/1-C, Townshend Road, Bhowanipore, Kolkata, West Bengal 700025, India",['(033) 40227000']
1,Academy of Engineering and Management - AMS - Courses,West Bengal,Kolkata,http://www.aemk.org/,"2/80 Dumdum Road, First and 2nd Floor, Opposite GTR Gate, Near Dumdum Metro Station, Kolkata, West Bengal 700074, India","[' 9830051236, 9804565246']"
2,Adroit Learning Foundation,West Bengal,Kolkata,,"8-F, Green Park, Kolkata, West Bengal 70084, India",[' 9831112156']
3,Advanced Institute of Modern Management and Technology - AIMMT - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"#55, Barrack Road Barrackpore, Kolkata, West Bengal 700120, India","['(033) 25947772, 25450607']"
4,Aliah University - AU,Universities in West Bengal,Universities in West Bengal,http://www.aliah.ac.in/,"Action Area II-A/27, New Town, Kolkata, West Bengal 700160, India",['(033) 23416444']
5,Amity University - Kolkata,Universities in West Bengal,Universities in West Bengal,https://amity.edu/kolkata/index.aspx,"Major Arterial Road, Action Area II, Rajarhat, New Town, Kolkata, West Bengal 700135, India","['(033) 71020304 - Reception / ', ' 9748582665, 9051662027']"
6,Annex College of Management Studies - Courses,West Bengal,Kolkata,https://targetstudy.com/university/243/singhania-university/,"BD-91, Salt Lake City, Sector I, Kolkata, West Bengal 700064, India","['(033) 40041129, 40041130, 23341780, 23341781 / ', ' 9903912045, 9903912046']"
7,Aptech Computer Education,West Bengal,Kolkata,,"4, Indralok, Sodepur, Opp. SBI HB Town
, Kolkata, West Bengal 700110, India","['(033) 25652228 / ', ' 9830061770']"
8,Aptech Computer Education - Behala,West Bengal,Kolkata,,"738, D.H. Road, 2nd Floor, Above UBI Bank, Behala, Kolkata, West Bengal 700008, India","['(033) 24460725 / ', ' 9330148679']"
9,Aptech Computer Education - Dum Dum Road,West Bengal,Kolkata,,"303, Dum Dum Road, Near Indira Maidan, Kolkata, West Bengal 700074, India",[' 9339545249']
