,index,Unnamed: 0,College_Name,State,City,URL_,Address,Phone_Number
0,3,3,A.I's Homai Peerbhoy Computer Centre - Courses,Maharashtra,Mumbai,https://anjumaniislam.org/our-institutes/other-institutions-managed-by-anjuman-i-islam/,"92, Dr. D.N. Road, CST, Mumbai, Maharashtra 400001, India","['(022) 22611494, 22611495 / ', ' 9820096119']"
1,25,25,Abhinav Institute of Technology and Management - Dadar Campus - Courses,Maharashtra,Mumbai,,"Vivekand Classes Premises, Blue Perl, Beside Sarswat Bank, Senapati Bapat Road, Dadar 
, Mumbai, Maharashtra 400028, India","['(022) 24329775, 24384262 / ', ' 9322948376']"
2,30,30,Abhinav Institute of Technology and Management - Pune Campus - Courses,Maharashtra,Mumbai,,"Sawata Mali Bhavan, 2nd Floor, 727 Budhwar Peth, Beside Kasba Ganpati, Near Shanivar Wada, Mumbai, Maharashtra 411002, India","['(020) 24461167, 24461886 / ', ' 9323128988']"
3,127,127,"Aegis School of Business, Data Science, Cyber Security and Telecommunication - Courses",Maharashtra,Mumbai,https://www.aegis.edu.in/,"Kailas Business Park, A Wing 19th Floor, Powai Hiranandani Link Road, Vikhorali West, Mumbai, Maharashtra 400079, India","[' 9022137010, 8422970034, 8828084908']"
4,141,141,Agrawal Institute of Management and Technology - AIMT - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/207/tilak-maharastra-vidyapeeth/,"8-B 178 2768, Tagore Nagar, Vikhroli East, Mumbai Suburban, Sona Enterprises Colony, Mumbai, Maharashtra 400083, India","['(022) 25741867, 25741287 / ', ' 9221918165']"
5,152,152,Aim Computers Education,Maharashtra,Mumbai,http://www.aimcomputerseducation.com/,"Basement A-15, Bappa Sitaram Market, Near Railway Station, Opposite Sagar Sweet, Achole Road, Mumbai, Maharashtra 401209, India","[' 7066716001, 8552952363']"
6,172,172,Akbar Peerbhoy College of Commerce and Economics - Courses,Maharashtra,Mumbai,http://apcollege.in/index.php,"M.S. Ali Road, Near Do Taki, Grant Road (East), Mumbai, Maharashtra 400008, India","['(022) 23074122, 23083405, 23051106']"
7,298,298,Animatix Computer Education - Courses,Maharashtra,Mumbai,,"#Sector 1, Building No. 67, 3rd Floor, 303, 304, Opposite Thane Bus Stop, Mira Road, Mumbai, Maharashtra 401107, India","['(022) 28125907, 28125924']"
8,305,305,Anjuman-E-Islam Akbar Peerbhoy College of Commerce and Economics - Courses,Maharashtra,Mumbai,http://www.apcollege.in/,"Maulana Shaukatali Road, Near Do Taaki, Grant Road (East), Mumbai, Maharashtra 400008, India","['(022) 23074122, 23083405']"
9,306,306,Anjuman-I-Islam M.H. Saboo Siddik College of Engineering - Courses,Maharashtra,Mumbai,https://www.mhssce.ac.in/,"#8, Saboo Siddik Polytechnic Road, Post Box No. 4627, Byculla, Mumbai, Maharashtra 400008, India",['(022) 23012922']
